"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001200090","36049","2900","3340"
"1001200006","06912","2600","2900"
"1006027696","36790","2500","3485"
"1006028836","C8115","2500","3455"
"1001200019","60235","2600","3360"
"1001200011","06928","2900","3364"
"1001200418","25374","3150","3270"
"1001200466","30229","2750","3336"
"1001200460","30255","2800","3294"
"1001200301","39151","3100","3289"
"1001200301","04854","3160","3348"
"1001200288","47557","2900","3309"
"1001200319","03423","2605","3310"
"1001200372","04916","2910","3295"
"1001200352","12155","2800","3358"
"1001200347","26912","2795","3331"
"1001200340","30251","2500","2978"
"1001200475","28121","2575","3090"
"1006029761","64945","2000","3050"
"1006024486","F0438","2200","3200"
"1001200411","C5308","2900","3080"
"1001200406","27622","2950","3314"
"1001200390","50378","3003","3320"
"1005750668","09070","2600","3352"
"1006026736","B5672","2600","3320"
"1005750670","05330","3000","3320"
"1005750674","63389","2600","3285"
"1001200782","55330","2600","3306"
"1001200793","55231","2600","3324"
"1006029771","52962","2600","3313"
"1001200689","29350","2600","3170"
"1001200714","A6419","2600","3291"
"1001200689","35138","1445","3170"
"1002887031","F3486","280","3188"
"1006029936","53825","2400","3265"
"1006025501","G1186","2640","3364"
"1001200926","08405","2650","3349"
"1001200958","03424","2600","3341"
"1001200967","54465","3230","3373"
"1001200898","09263","2600","3383"
"1001200820","55227","2600","3250"
"1001200843","66438","2600","3375"
"1006030014","07922","2700","3355"
"1001201024","55280","2690","2890"
"1006513028","A6465","3278","3314"
"1001200870","66436","2800","3244"
"1001201169","27073","2500","3395"
"1001201367","14778","2600","3345"
"1001201347","26676","3000","3353"
"1001201112","06930","750","1700"
"1001201097","14791","2700","3332"
"1001201327","14774","2700","3393"
"1001201270","26599","1865","3326"
"1001201195","06932","2624","3338"
"1001201206","26161","2900","3250"
"1001201253","26797","2900","3324"
"1001201245","26073","2600","3366"
"1001201222","28541","3250","3344"
"1001201375","06933","2650","3377"
"1001201263","09778","3369","3555"
"1001201228","59259","2600","3325"
"1001201339","10313","2900","3373"
"1046453201","01966","3435","3664"
"1001201647","04814","3000","3367"
"1001201534","06934","2800","3342"
"1001201510","65872","2900","3369"
"1001201622","08790","2750","3358"
"1001201629","06935","252","2100"
"1001201480","04828","3220","3330"
"1001201604","14942","2850","3355"
"1001201452","06937","3250","3360"
"1001201666","68479","2650","3361"
"1001201685","61624","3200","3339"
"1001201595","06938","200","3344"
"1001201589","04861","3100","3349"
"1001201979","06944","1950","3301"
"1001201969","01034","3040","3420"
"1001201887","54955","2900","3150"
"1001201871","54689","2960","3205"
"1001201819","54432","2950","3100"
"1001201812","54707","2950","3389"
"1001201797","54675","2900","3389"
"1001201960","27669","3050","3377"
"1001201913","08650","2700","3377"
"1001201732","26622","3300","3401"
"1001201759","04594","2530","3395"
"1001202002","28955","3300","3355"
"1001202029","08230","3050","3367"
"1001202009","06940","1500","2700"
"1001202178","08624","2700","3422"
"1006018329","65742","2600","3385"
"1006021258","33916","2900","3411"
"1001202126","54698","2900","3413"
"1001202152","54665","2950","3414"
"1001202073","54918","3000","3437"
"1001202188","05813","3350","3430"
"1001202210","17944","2000","3250"
"1006021719","57881","2600","3290"
"1001202164","C1899","2300","3393"
"1001202203","C3409","2700","3230"
"1001202196","10925","2700","3430"
"1006136367","37197","2150","3402"
"1006136277","F7620","773","3326"
"1001300277","48597","3000","3350"
"1001197525","07838","2800","3342"
"1001197177","06884","2500","3278"
"1001194150","46668","2600","3307"
"1001194203","46346","2600","3379"
"1001194208","32470","1950","3265"
"1001194224","48870","2600","2950"
"1001194136","64876","3000","3323"
"1001194216","45125","2600","3349"
"1001194159","51009","2600","3325"
"1001194243","60408","2600","3332"
"1044581636","F2748","2600","3150"
"1006021518","55677","2600","3365"
"1044120869","22946","2600","3336"
"1044120870","61939","2600","3070"
"1001194114","29056","3240","3305"
"1001198426","55308","2700","3312"
"1001221995","12108","3279","3315"
"1006048947","55576","2500","3340"
"1001221990","43832","430","2500"
"1001221990","28567","3341","3362"
"1001221646","68732","2500","3323"
"1002911892","54993","2800","3339"
"1006466136","32570","1800","3310"
"1006513598","A9688","3201","3306"
"1005755682","12126","2600","3333"
"1006050743","C2852","2700","3500"
"1006050135","F9019","2800","3324"
"1006050747","C3081","2700","3500"
"1001198383","25426","3250","3343"
"1001198042","61671","2940","3395"
"1001198031","49542","2280","3300"
"1001198030","50365","2900","3375"
"1001198029","50405","2800","3386"
"1001198026","50781","2900","3416"
"1001198032","50861","2900","3460"
"1001198025","50734","2800","3385"
"1006023118","F1401","1500","1750"
"1006023118","A5865","1750","2250"
"1006023118","A5866","2250","3000"
"1006023118","A5867","3000","3400"
"1001198045","11165","2700","3410"
"1001198067","02096","2500","3353"
"1001198052","42082","300","3349"
"1001198065","54653","2950","3398"
"1001198057","04258","3000","3406"
"1001198060","54390","2900","3250"
"1001198062","04872","2900","3317"
"1001198058","28320","3310","3415"
"1001198061","04828","2900","3390"
"1001198048","49031","1930","3400"
"1006030134","26884","2600","3298"
"1001198107","48354","3150","3358"
"1001198074","25278","3250","3310"
"1001198105","56759","2660","3312"
"1001198110","54259","2600","3080"
"1001198109","47477","3080","3307"
"1001198094","02499","3150","3339"
"1001198095","53992","2750","3357"
"1001198101","48271","2800","3307"
"1001198102","28252","3365","3637"
"1001193874","56298","2800","3332"
"1001198085","04844","3000","3358"
"1001198088","66024","2800","3362"
"1001198089","65789","2900","3355"
"1006028308","C0058","3100","3450"
"1001198077","57025","3120","3334"
"1001198078","04913","3300","3366"
"1001198080","48251","2650","3365"
"1001198081","54931","2650","3324"
"1001198145","F2699","1070","3302"
"1001198139","42745","2600","3325"
"1038456957","03880","2800","3512"
"1001198122","07100","2600","3325"
"1001198127","42465","2600","3280"
"1001198128","42962","2950","3313"
"1001198121","34735","2550","3339"
"1001198134","04863","2900","3350"
"1001198133","30658","3050","3338"
"1001198159","12769","2800","3329"
"1001198156","A7291","2600","3405"
"1001198151","B0054","2400","3397"
"1001198152","04923","3000","3351"
"1001198153","B1297","2650","3377"
"1001198147","31315","2605","3396"
"1046924156","04923","3245","3370"
"1001198171","26265","3025","3354"
"1006027195","B7516","210","3380"
"1001198163","A8636","2600","3368"
"1001198162","A9087","2900","3378"
"1001198177","F2279","3300","3397"
"1001198188","26638","3295","3405"
"1006025443","A7080","670","3320"
"1006027328","B8009","2700","3372"
"1001198196","35060","2610","3343"
"1006019852","18272","2675","3380"
"1001198217","50453","3200","3389"
"1038456977","27530","2950","3363"
"1001198208","34910","610","3000"
"1001198208","34911","3000","3340"
"1001198215","34839","700","3344"
"1001198214","12692","2250","3200"
"1001198214","12689","3200","3331"
"1006026514","B4221","2700","3375"
"1001198238","09032","2700","3317"
"1001198239","29932","2900","3200"
"1001198239","29933","3200","3384"
"1001198245","04833","2900","3301"
"1001198241","55225","2760","3297"
"1001198242","55241","2700","3362"
"1001198244","66331","2700","3344"
"1006022027","70105","2500","3286"
"1006026762","B4274","2600","3200"
"1001198235","B1500","2400","3287"
"1001198248","34896","1400","3300"
"1001198235","A7373","2900","3300"
"1001198236","42642","3080","3125"
"1001198236","53442","2700","3308"
"1001198234","42343","3055","3273"
"1001198247","42675","3050","3315"
"1001198249","42915","2700","3000"
"1001198223","42810","2700","3281"
"1006026969","B5764","2600","3328"
"1001198224","25887","2800","3290"
"1006021124","F2754","3180","3425"
"1001198230","B0239","2900","3370"
"1001198227","24519","2800","3175"
"1001198263","05271","2600","3303"
"1006022123","70705","2750","3315"
"1001198266","C5107","2270","3330"
"1006026118","B3134","2600","3355"
"1001198277","47354","2500","3284"
"1001198277","A6999","2810","3284"
"1001198275","05181","2500","3276"
"1006020362","41745","2120","3284"
"1006803115","03203","2900","3337"
"1001198254","A6291","3000","3200"
"1001198256","08373","2600","3327"
"1006022121","70617","2600","3000"
"1006022177","70855","3050","3295"
"1001198271","26689","2900","3335"
"1001198272","02082","2950","3305"
"1001198307","54968","3000","3359"
"1001198278","54717","2950","3333"
"1006803128","54501","2900","3366"
"1001198287","54790","2875","3382"
"1001198285","54500","2850","3336"
"1001198294","50425","2500","2970"
"1001198284","41503","1450","3336"
"1001198283","48354","3290","3359"
"1001198282","47309","3000","3355"
"1001198280","03711","0","1550"
"1006513155","G1178","3100","3540"
"1001198296","49489","2950","3415"
"1001198291","27789","3300","3369"
"1001198292","50599","2900","3440"
"1001198295","50862","2700","3461"
"1001198298","50454","2700","3355"
"1006023120","A5648","2650","2915"
"1006028160","B9450","2800","3414"
"1001198303","C6137","530","1730"
"1001198302","C6127","2700","3350"
"1001198314","A9156","3190","3405"
"1001198325","54959","290","3385"
"1031522921","54962","3050","3585"
"1001198334","54034","2900","3348"
"1001198337","54445","2900","3425"
"1001198338","30505","3250","3374"
"1001198322","50501","3000","3396"
"1001197534","31211","3320","3500"
"1027705949","31457","2740","3214"
"1001198346","04832","2950","3000"
"1001198341","A8836","300","3323"
"1001198343","C1243","2800","3344"
"1001197670","31461","3288","3310"
"1006020646","F9932","3040","3184"
"1006028574","C4285","2600","3190"
"1001198366","31747","2800","3325"
"1001198357","54083","2360","2860"
"1001198379","27284","2800","3316"
"1001198402","A7404","3250","3373"
"1001198387","04156","2900","3329"
"1001198390","07445","2900","3385"
"1001198391","08292","2900","3327"
"1006021592","56278","2600","3390"
"1001198398","17834","2800","3365"
"1001198397","04175","2900","3328"
"1001198393","08824","2850","3400"
"1001198392","58327","2620","3309"
"1001198394","48220","2670","3900"
"1001198395","B0686","2560","3332"
"1006028658","C4811","2800","3400"
"1006028662","C4812","2800","3400"
"1001198428","25226","3200","3285"
"1001198438","04366","2600","2800"
"1001198438","04367","2800","3050"
"1001198436","27166","2900","3330"
"1001198436","65297","3312","3330"
"1001198432","55352","2700","3000"
