KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1001320424","15-185-72662","Johnson, N. W.","3","E. H. Moore, Inc.","","Zenith-Peace Creek","24","S","11","W","13","C"," ","SW","NE","NE","4290","-990","SE","-98.4753624","37.9668992","Stafford","","02/15/1939","03/08/1939","04/01/1972","OIL-P&A","Plugged and Abandoned","3810","1798","DF"," "
"1001320427","15-185-10256","Johnson","1","J. E. Crosbie, Inc.","","Zenith-Peace Creek","24","S","11","W","13","C"," ","SW","NW","SW","1650","-4950","SE","-98.4890298","37.9593731","Stafford","","08/11/1938","09/02/1938","07/02/1947","OIL-P&A","Plugged and Abandoned","3820","1813","DF"," "
"1001320573","15-185-10391","McComb, Glenn","3","DERBY OIL CO.","","Zenith-Peace Creek","24","S","11","W","24","C"," ","NE","NW","NW","4950","-4290","SE","-98.4866859","37.9540723","Stafford","","09/28/1938","10/23/1938","11/25/1941","OIL-P&A","Plugged and Abandoned","3822","1798","DF"," "
"1001320574","15-185-32004","McComb, Glenn C.","5","DERBY OIL CO.","","Zenith-Peace Creek","24","S","11","W","24"," "," ","SW","NW","NW","4290","-4950","SE","-98.4889562","37.9522498","Stafford","","04/27/1938","05/18/1938","04/01/1959","OIL","Recompleted","3813","1799","DF"," "
"1001320580","15-185-10400","Paulsen, H. C.","1-B","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","26"," "," ","NW","NW","NE","-330","-2310","NE","-98.4980712","37.9394735","Stafford","","02/22/1938","03/15/1938","09/22/1945","OIL-P&A","Plugged and Abandoned","3810","1790","DF"," "
"1001320273","15-185-12580","Figger","3","Plains Exploration Co.","","Zenith-Peace Creek","24","S","11","W","8","C"," ","SE","NE","NE","4290","-330","SE","-98.5464811","37.9810543","Stafford","","03/23/1945","04/19/1945","11/06/1954","OIL-P&A","Plugged and Abandoned","3777","1824","DF"," "
"1001320277","15-185-12536","Figger","1","Cities Service Oil Co.","","Zenith-Peace Creek","24","S","11","W","9"," "," ","E2","SW","NW","3300","-4290","SE","-98.5418248","37.9783373","Stafford","","02/13/1944","02/26/1944","02/25/1956","OIL-P&A","Plugged and Abandoned","3781","1825","DF"," "
"1001320373","15-185-72609","McComb, E. H.","2","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","12","C"," ","S2","SW","SW","330","-4620","SE","-98.4879833","37.9703997","Stafford","","06/06/1939","06/27/1939","04/01/1960","OIL-P&A","Plugged and Abandoned","3811","1800","DF"," "
"1001320372","15-185-72607","McComb, E. H.","3","Stanolind Oil and Gas Co.","","Zenith-Peace Creek","24","S","11","W","12","C"," ","S2","NW","SW","1650","-4620","SE","-98.487972","37.9740261","Stafford","","07/27/1939","08/16/1939","05/01/1952","OIL-P&A","Plugged and Abandoned","3792","1808","DF"," "
"1001320267","15-185-12048","Waples","1","William L. Graham Oil Co.","","Zenith-Peace Creek","24","S","11","W","8","C"," ","NE","SW","NW","3630","-4290","SE","-98.560194","37.9792411","Stafford","","02/28/1950","03/11/1950","04/04/1950","D&A","Plugged and Abandoned","3784","1834","KB"," "
