"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1001215760","14896","3395","3737"
"1001215761","38972","1402","3180"
"1001215761","38973","3180","3715"
"1006040915","A0806","3000","3560"
"1006040915","A0809","3560","3663"
"1006041251","A3304","3000","3658"
"1001217567","13087","3100","3760"
"1001219288","09234","3000","3713"
"1002909594","05559","3000","3722"
"1002909769","07522","2900","3863"
"1006040216","57030","3000","3695"
"1001218777","06539","2245","3450"
"1001215763","30881","3600","3645"
"1006041253","A3350","3000","3690"
"1001215766","11093","2681","3690"
"1002911360","39286","3000","3695"
"1006040751","A0209","3000","3670"
"1006041443","A4965","3000","3690"
"1001215765","10837","2900","3430"
"1006048412","53190","2500","3492"
"1002909915","61327","2820","3500"
"1006048414","53088","2700","3150"
"1002910818","51187","1100","3561"
"1001216683","18515","2900","3280"
"1001218335","25706","2800","3447"
"1001215515","33830","2800","3440"
"1001218336","21235","2800","3473"
"1001216400","06305","2900","3488"
"1001216403","02893","2800","3467"
"1001215521","04950","3000","3365"
"1001215525","02529","3421","3430"
"1001218336","00972","3250","3470"
"1001215527","06308","2800","3427"
"1001215529","06309","2775","3414"
"1001215517","33894","3100","3433"
"1001215518","33904","3300","3408"
"1002910588","C1526","3320","3515"
"1034967166","04953","3000","3383"
"1001218341","01390","870","3448"
"1001215535","10562","2800","3384"
"1001215537","05346","2745","3365"
"1001215538","05328","3300","3400"
"1001215539","06312","2775","3369"
"1001215540","00005","2750","3488"
"1001218291","07618","2900","3490"
"1042911664","07502","2980","3443"
"1006048436","53063","2800","3410"
"1001218289","09565","3250","3412"
"1001215541","38408","2950","3423"
"1006041523","04253","3000","3417"
"1001215543","08332","3005","3414"
"1001215544","09373","2800","3415"
"1001215545","F1768","2885","3427"
"1001217594","27947","3650","3885"
"1002909713","14940","2780","3502"
"1002909376","27803","2710","3390"
"1001218308","06320","970","3303"
"1002911263","41173","2600","3328"
"1002910390","06318","2700","3530"
"1037782369","06326","2900","3300"
"1037782369","06327","3300","3375"
"1001218348","06319","1000","3359"
"1001218349","05338","2700","3373"
"1001218350","06322","2700","3407"
"1001218351","06323","10","500"
"1001215555","43776","2500","3285"
"1001215556","43828","3200","3337"
"1001215552","04897","3300","3367"
"1001215554","04897","3320","3382"
"1001215564","21438","3417","3480"
"1001215566","04885","3000","3390"
"1001215558","05612","2800","3343"
"1002910874","49573","1900","3375"
"1002909213","39844","2950","3753"
"1006044417","A7168","394","3850"
"1002909911","18480","3050","3717"
"1002909903","14712","3200","3690"
"1006039483","66950","2800","3670"
"1002909724","14927","3000","3792"
"1006040829","A0273","3000","3702"
"1001217307","04394","2900","3730"
"1006039984","35693","3000","3712"
"1006040749","A0024","3400","3693"
"1006040903","A0793","3000","3716"
"1001215769","05293","3000","3711"
"1006039972","35543","3000","3694"
"1006040002","35655","3000","3685"
"1006040016","35674","3000","3752"
