KID,LASFILE
"1045015809","1046502101.las"
"1052679709","1053377341.las"
"1050474759","1052169999.las"
"1046810951","1046943620.las"
"1006046938","1028091135.las"
"1006043004","1028091136.las"
"1043925995","1044773378.las"
"1041868208","1044875435.las"
"1043940590","1044639535.las"
"1043449033","1044249587.las"
"1044198404","1044891524.las"
"1044129502","1044880597.las"
"1043683697","1044597648.las"
"1044121288","1044907813.las"
"1044121287","1044907863.las"
"1043456684","1044571289.las"
"1043914591","1044782088.las"
"1038514602","1043563316.las"
"1006042546","1043624833.las"
"1006046727","1043624840.las"
"1006047825","1043624841.las"
"1006047827","1043624842.las"
"1006047899","1043624844.las"
"1006047945","1043624845.las"
"1006048015","1043624846.las"
"1001219122","1043624849.las"
"1042953730","1044208368.las"
"1037236577","1044095407.las"
"1044201993","1045003329.las"
"1044571922","1045008840.las"
"1044201996","1045008929.las"
"1044242686","1045019076.las"
"1044201991","1045019077.las"
"1044201995","1045063934.las"
"1044242685","1044966225.las"
"1044121286","1044916522.las"
"1044594953","1045027047.las"
"1044202000","1045027233.las"
"1044201999","1045027275.las"
"1044755809","1045086127.las"
"1044210472","1044973981.las"
"1044204741","1044974162.las"
"1044162208","1044944777.las"
"1044203469","1044977792.las"
"1044626865","1045062605.las"
"1044248384","1045076757.las"
"1044574967","1045086605.las"
"1044190517","1044984406.las"
"1044565034","1045063140.las"
"1044201997","1045008954.las"
"1044564549","1045018890.las"
"1044632341","1045113033.las"
"1046809331","1046943593.las"
"1046809331","1046943628.las"
"1044165896","1044925066.las"
"1045607097","1046112997.las"
