KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1006155717","T29S R41W, Sec. 11,   NW NE SE SW","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Ruby Arnold 11-2","15-187-20734","3372 KB","Schlumberger                  ","Compensated Neutron Lithodensity                                     ","4750","5978","121","Scanned","05/134/1994"
"1006155719","T29S R41W, Sec. 10,     SE SE NE","J.M. Huber Corp.","Huber, J.M. Corporation","Floyd Arnold 10-1","15-187-20735","3388 KB","Schlumberger                  ","Compensated Neutron Lithodensity                                     ","4800","5996","131","Scanned","04/118/1994"
"1006155811","T29S R41W, Sec. 10,   W2 W2 SE NW","H & L Operating Co.","H & L Operating Company","Powell 1-10","15-187-20786","3400 KB","Schlumberger                  ","Borehole Compensated Sonic Gamma Ray                                 ","1720","5750","125","Scanned","09/259/1986"
"1002950458","T29S R41W, Sec. 24,       NW NW","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Uney 24-1","15-187-20689","3374 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4200","5590","110","Scanned","09/270/1993"
"1005451234","T29S R41W, Sec. 34,     NW SW NE","J.M. Huber Corp.","Huber, J.M. Corporation","Santa Fe 34-1","15-187-20717","3398 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4250","5953","125","Scanned","02/49/1994"
"1006155563","T29S R41W, Sec. 22,     SE SE SW","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Santa Fe 22-2","15-187-20650","3400 KB","Schlumberger                  ","Digital Array Sonic                                                  ","1648","5854","120","Scanned","09/265/1992"
"1006155593","T29S R41W, Sec. 22,     NW NE NE","J.M. Huber Corp.","BEREXCO LLC","Smith Trust 22-1","15-187-20665","3392 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4200","5916","120","Scanned","02/55/1993"
"1006155595","T29S R41W, Sec. 23,     SW NW SE","J.M. Huber Corp.","BEREXCO LLC","Irwin Trust 23-1","15-187-20666","3389 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4275","5948","123","Scanned","04/94/1993"
"1006155597","T29S R41W, Sec. 21,     NE SE NE","J.M. Huber Corp.","BEREXCO LLC","Scott 21-1","15-187-20667","3413 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4250","5930","122","Scanned","03/68/1993"
"1006155599","T29S R41W, Sec. 16,     SE SE SE","J.M. Huber Corp.","Huber, J.M. Corporation","Fretz 16-2","15-187-20668","3420 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4200","5950","123","Scanned","03/80/1993"
"1006155603","T29S R41W, Sec. 23,     SE NW NW","J.M. Huber Corp.","Belco Energy Corp.","Kendrick 23-2","15-187-20671","3387 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4285","5855","120","Scanned","04/115/1993"
"1006155631","T29S R41W, Sec. 10,     SE NE SE","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Cockreham 10-1","15-187-20686","3386 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4300","5860","125","Scanned","10/282/1993"
"1006155653","T29S R41W, Sec. 15,     NW NE NE","J.M. Huber Corp.","Huber, J.M. Corporation","Kendrick 15-2","15-187-20699","3398 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4240","5992","125","Scanned","09/254/1993"
"1006155685","T29S R41W, Sec. 23,   SW SE NE NE","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Arnold 23-2","15-187-20716","3374 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4300","5936","131","Scanned","02/36/1994"
"1006155719","T29S R41W, Sec. 10,     SE SE NE","J.M. Huber Corp.","Huber, J.M. Corporation","Floyd Arnold 10-1","15-187-20735","3388 KB","Schlumberger                  ","Digital Array Sonic                                                  ","4280","8985","131","Scanned","04/118/1994"
"1006155525","T29S R41W, Sec. 16,     NE NE NE","J.M. Huber Corp.","Huber, J.M. Corporation","Fretz 16-1","15-187-20631","3410 KB","Schlumberger                  ","Long Spaced Sonic Log                                                ","4627","5786","129","Scanned","03/64/1992"
"1006155527","T29S R41W, Sec. 23,     NW NE NW","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Kendrick 23-1","15-187-20632","3385 KB","Schlumberger                  ","Long Spaced Sonic Log                                                ","4500","5631","129","Scanned","02/45/1992"
"1006155531","T29S R41W, Sec. 28,     E2 NE NW","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Lauman or Berkoz 1-28","15-187-20634","3381 KB","Schlumberger                  ","Long Spaced Sonic Log                                                ","4550","5680","128","Scanned","03/86/1992"
"1006155533","T29S R41W, Sec. 14,     NE NW NE","J.M. Huber Corp.","BEREXCO LLC","Kendrick 14-2","15-187-20635","3374 KB","Schlumberger                  ","Long Spaced Sonic Log                                                ","4750","5927","125","Scanned","05/125/1992"
"1006155535","T29S R41W, Sec. 26,     SW SE NW","J.M. Huber Corp.","BEREXCO LLC","Pro Farms 26-1","15-187-20636","3350 KB","Schlumberger                  ","Long Spaced Sonic Log                                                ","1624","5889","127","Scanned","06/154/1992"
"1006155537","T29S R41W, Sec. 21,     SE SW SE","J.M. Huber Corp.","BEREXCO LLC","Santa Fe 21-1","15-187-20637","3408 KB","Schlumberger                  ","Long Spaced Sonic Log                                                ","1652","5799","123","Scanned","05/137/1992"
"1006155539","T29S R41W, Sec. 23,   SW NE SW NE","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Arnold 23-1","15-187-20638","3381 KB","Schlumberger                  ","Long Spaced Sonic Log                                                ","4250","5783","125","Scanned","06/170/1992"
"1006155717","T29S R41W, Sec. 11,   NW NE SE SW","J.M. Huber Corp.","Kerr-McGee Oil & Gas Onshore LP","Ruby Arnold 11-2","15-187-20734","3372 KB","Schlumberger                  ","Long Spaced Sonic Log                                                ","4310","5971","121","Scanned","05/134/1994"
"1044150452","T29S R41W, Sec. 34,       SW NW","C. H. Todd, Inc.","Elevate Energy Ltd","CHT Hume Bros 2-34","15-187-21209","3406 KB","Superior Well Services        ","Dual Induction","0","5507","130","Scanned","09/249/2012"
"1044150452","T29S R41W, Sec. 34,       SW NW","C. H. Todd, Inc.","Elevate Energy Ltd","CHT Hume Bros 2-34","15-187-21209","3406 KB","Superior Well Services        ","Compensated Density Neutron Log                                      ","3500","5485","130","Scanned","09/249/2012"
"1041760817","T29S R41W, Sec. 21,       SW SW","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Pro Farms 21-2","15-187-21159","3407 KB","Weatherford","Caliper","4200","5837","120","Scanned","03/63/2010"
"1044143903","T29S R41W, Sec. 17,   SE NW NW SE","Oxy USA, Inc.","BEREXCO LLC","KU 'B' 3","15-187-21208","3425 KB","Weatherford","Compact Photo Density Compensated Neutron w Microresistivity","3500","5822","132","Scanned","09/257/2012"
"1041517630","T29S R41W, Sec. 21,       NW SW","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Pro Farms 21-1","15-187-21158","3421 KB","Weatherford","Compact Photo Density Compensated Neutron w Microresistivity","3000","5909","124","Scanned","03/73/2010"
"1041760797","T29S R41W, Sec. 21,       SE SW","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Pro Farms 21-3","15-187-21163","3392 GL","Weatherford","Compact Photo Density Compensated Neutron w Microresistivity","3000","5842","120","Scanned","03/81/2010"
"1041760817","T29S R41W, Sec. 21,       SW SW","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Pro Farms 21-2","15-187-21159","3407 KB","Weatherford","Compact Photo Density Compensated Neutron w Microresistivity","4650","5837","120","Scanned","03/63/2010"
"1044584711","T29S R41W, Sec. 22,     S2 NE NW","Western Operating Co.","BEREXCO LLC","LMS Land 1","15-187-21236","3400 KB","Weatherford","Compact Photo Density Compensated Neutron w Microresistivity","3500","5690","126","Scanned","08/241/2013"
"1046847941","T29S R41W, Sec. 16,       NE SW","Western Operating Company","Western Operating Company","MARTIN-PETERSON 1","15-187-21342","3417 KB","Weatherford","Compact Photo Density Compensated Neutron w Microresistivity","3500","5690","122","Scanned","01/09/2019"
"1044852526","T29S R41W, Sec. 15,   S2 N2 NW SW","Western Operating Company","Western Operating Company","Fretz Trust 1","15-187-21280","3421 KB","Weatherford","Compact Photo Density Compensated Neutron w Microresistivity","3400","5765","124","Scanned","07/194/2014"
"1038456352","T30S R41W, Sec. 3,     SW NE NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 3-3","15-187-21137","3382 KB","Weatherford","Compact Photo Density Compensated Neutron","4200","5567","121","Scanned","09/271/2008"
"1040726712","T29S R41W, Sec. 20,     NE SE SE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Haney 2-20","15-187-21148","3427 KB","Weatherford","Compact Photo Density Compensated Neutron","3550","5548","124","Scanned","07/201/2009"
"1042374890","T29S R41W, Sec. 20,     NE NW NE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Baughman Foundation 2-20","15-187-21170","3436 KB","Weatherford","Compact Photo Density Compensated Neutron","1638","5520","123","Scanned","07/183/2010"
"1042656225","T29S R41W, Sec. 20,     SE NE NE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Baughman Foundation 3-20","15-187-21185","3451 KB","Weatherford","Compact Photo Density Compensated Neutron","3550","5585","125","Scanned","07/212/2010"
"1037652149","T30S R41W, Sec. 3,     SW NW NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 1-3","15-187-21116","3385 KB","Weatherford","Compact Photo Density Compensated Neutron","4200","5478","116","Scanned","02/52/2008"
"1038225763","T30S R41W, Sec. 3,     SE SE NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 2-3","15-187-21130","3381 KB","Weatherford","Compact Photo Density Compensated Neutron","4200","5566","122","Scanned","08/216/2008"
"1038394418","T29S R41W, Sec. 20,     NE NE SE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Haney 1-20","15-187-21136","3424 KB","Weatherford","Compact Photo Density Compensated Neutron","3550","5605","120","Scanned","09/252/2008"
"1043128071","T29S R41W, Sec. 16,     SE SW SW","Stelbar Oil Corp., Inc.","Stelbar Oil Corporation, Inc.","M&P 1-16","15-187-21190","3438 KB","Weatherford","Compact Photo Density Compensated Neutron","3550","3586","116","Scanned","12/364/2010"
"1043128082","T29S R41W, Sec. 15,     SE SE SW","Stelbar Oil Corp., Inc.","Stelbar Oil Corporation, Inc.","Fretz Trust 1-15","15-187-21189","3407 KB","Weatherford","Compact Photo Density Compensated Neutron","3600","5517","118","Scanned","01/14/2011"
"1038456352","T30S R41W, Sec. 3,     SW NE NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 3-3","15-187-21137","3382 KB","Weatherford","Micro Resistivity Log","4200","5553","121","Scanned","09/271/2008"
"1040726712","T29S R41W, Sec. 20,     NE SE SE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Haney 2-20","15-187-21148","3427 KB","Weatherford","Micro Resistivity Log","3550","5534","124","Scanned","07/201/2009"
"1042374890","T29S R41W, Sec. 20,     NE NW NE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Baughman Foundation 2-20","15-187-21170","3436 KB","Weatherford","Micro Resistivity Log","3600","5520","123","Scanned","07/201/2010"
"1044143903","T29S R41W, Sec. 17,   SE NW NW SE","Oxy USA, Inc.","BEREXCO LLC","KU 'B' 3","15-187-21208","3425 KB","Weatherford","Micro Resistivity Log","3500","5808","132","Scanned","09/257/2012"
"1042656225","T29S R41W, Sec. 20,     SE NE NE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Baughman Foundation 3-20","15-187-21185","3451 KB","Weatherford","Micro Resistivity Log","3550","5571","125","Scanned","07/212/2010"
"1037652149","T30S R41W, Sec. 3,     SW NW NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 1-3","15-187-21116","3385 KB","Weatherford","Micro Resistivity Log","4200","5478","116","Scanned","02/52/2008"
"1038225763","T30S R41W, Sec. 3,     SE SE NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 2-3","15-187-21130","3381 KB","Weatherford","Micro Resistivity Log","4200","5552","122","Scanned","08/216/2008"
"1038394418","T29S R41W, Sec. 20,     NE NE SE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Haney 1-20","15-187-21136","3424 KB","Weatherford","Micro Resistivity Log","3550","5593","120","Scanned","09/252/2008"
"1043128071","T29S R41W, Sec. 16,     SE SW SW","Stelbar Oil Corp., Inc.","Stelbar Oil Corporation, Inc.","M&P 1-16","15-187-21190","3438 KB","Weatherford","Micro Resistivity Log","3550","5572","116","Scanned","12/364/2010"
"1043128082","T29S R41W, Sec. 15,     SE SE SW","Stelbar Oil Corp., Inc.","Stelbar Oil Corporation, Inc.","Fretz Trust 1-15","15-187-21189","3407 KB","Weatherford","Micro Resistivity Log","3600","5503","118","Scanned","01/14/2011"
"1044584711","T29S R41W, Sec. 22,     S2 NE NW","Western Operating Co.","BEREXCO LLC","LMS Land 1","15-187-21236","3400 KB","Weatherford","Micro Resistivity Log","3500","5675","126","Scanned","08/241/2013"
"1044852526","T29S R41W, Sec. 15,   S2 N2 NW SW","Western Operating Company","Western Operating Company","Fretz Trust 1","15-187-21280","3421 KB","Weatherford","Micro Resistivity Log","3400","5751","124","Scanned","07/194/2014"
"1038456352","T30S R41W, Sec. 3,     SW NE NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 3-3","15-187-21137","3382 KB","Weatherford","Compensated Sonic Integrated Transit Times","1577","5588","121","Scanned","09/271/2008"
"1042374890","T29S R41W, Sec. 20,     NE NW NE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Baughman Foundation 2-20","15-187-21170","3436 KB","Weatherford","Compensated Sonic Integrated Transit Times","1638","5520","123","Scanned","07/183/2010"
"1044143903","T29S R41W, Sec. 17,   SE NW NW SE","Oxy USA, Inc.","BEREXCO LLC","KU 'B' 3","15-187-21208","3425 KB","Weatherford","Compensated Sonic Integrated Transit Times","1826","5841","132","Scanned","12/347/2013"
"1042656225","T29S R41W, Sec. 20,     SE NE NE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Baughman Foundation 3-20","15-187-21185","3451 KB","Weatherford","Compensated Sonic Integrated Transit Times","1715","5606","125","Scanned","07/212/2010"
"1037652149","T30S R41W, Sec. 3,     SW NW NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 1-3","15-187-21116","3385 KB","Weatherford","Compensated Sonic Integrated Transit Times","1700","5478","116","Scanned","02/52/2008"
"1038225763","T30S R41W, Sec. 3,     SE SE NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 2-3","15-187-21130","3381 KB","Weatherford","Compensated Sonic Integrated Transit Times","1714","5587","122","Scanned","08/216/2008"
"1038394418","T29S R41W, Sec. 20,     NE NE SE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Haney 1-20","15-187-21136","3424 KB","Weatherford","Compensated Sonic Integrated Transit Times","1610","5595","120","Scanned","09/252/2008"
"1038394418","T29S R41W, Sec. 20,     NE NE SE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Haney 1-20","15-187-21136","3424 KB","Weatherford","Compensated Sonic Integrated Transit Times","1610","5569","124","Scanned","07/201/2009"
"1043128071","T29S R41W, Sec. 16,     SE SW SW","Stelbar Oil Corp., Inc.","Stelbar Oil Corporation, Inc.","M&P 1-16","15-187-21190","3438 KB","Weatherford","Compensated Sonic Integrated Transit Times","1548","5607","116","Scanned","12/364/2010"
"1043128082","T29S R41W, Sec. 15,     SE SE SW","Stelbar Oil Corp., Inc.","Stelbar Oil Corporation, Inc.","Fretz Trust 1-15","15-187-21189","3407 KB","Weatherford","Compensated Sonic Integrated Transit Times","1617","5538","118","Scanned","01/14/2011"
"1044584711","T29S R41W, Sec. 22,     S2 NE NW","Western Operating Co.","BEREXCO LLC","LMS Land 1","15-187-21236","3400 KB","Weatherford","Compensated Sonic Integrated Transit Times","1650","5709","126","Scanned","08/241/2013"
"1044852526","T29S R41W, Sec. 15,   S2 N2 NW SW","Western Operating Company","Western Operating Company","Fretz Trust 1","15-187-21280","3421 KB","Weatherford","Compensated Sonic Integrated Transit Times","1742","5784","124","Scanned","07/194/2014"
"1038456352","T30S R41W, Sec. 3,     SW NE NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 3-3","15-187-21137","3382 KB","Weatherford","Array Induction Shallow Focused Electric Log","1577","5599","121","Scanned","09/271/2008"
"1040726712","T29S R41W, Sec. 20,     NE SE SE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Haney 2-20","15-187-21148","3427 KB","Weatherford","Array Induction Shallow Focused Electric Log","1610","5579","124","Scanned","07/201/2009"
"1042374890","T29S R41W, Sec. 20,     NE NW NE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Baughman Foundation 2-20","15-187-21170","3436 KB","Weatherford","Array Induction Shallow Focused Electric Log","1638","5520","123","Scanned","07/183/2010"
"1044143903","T29S R41W, Sec. 17,   SE NW NW SE","Oxy USA, Inc.","BEREXCO LLC","KU 'B' 3","15-187-21208","3425 KB","Weatherford","Array Induction Shallow Focused Electric Log","1826","5851","132","Scanned","09/257/2012"
"1042656225","T29S R41W, Sec. 20,     SE NE NE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Baughman Foundation 3-20","15-187-21185","3451 KB","Weatherford","Array Induction Shallow Focused Electric Log","1715","5616","125","Scanned","07/212/2010"
"1037652149","T30S R41W, Sec. 3,     SW NW NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 1-3","15-187-21116","3385 KB","Weatherford","Array Induction Shallow Focused Electric Log","1700","5507","116","Scanned","02/52/2008"
"1038225763","T30S R41W, Sec. 3,     SE SE NE","Stelbar Oil Corp., Inc.","White Exploration, Inc.","Carr 2-3","15-187-21130","3381 KB","Weatherford","Array Induction Shallow Focused Electric Log","1714","5597","122","Scanned","08/216/2008"
"1038394418","T29S R41W, Sec. 20,     NE NE SE","Stelbar Oil Corp., Inc.","BEREXCO LLC","Haney 1-20","15-187-21136","3424 KB","Weatherford","Array Induction Shallow Focused Electric Log","1610","5603","120","Scanned","09/252/2008"
"1041517630","T29S R41W, Sec. 21,       NW SW","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Pro Farms 21-1","15-187-21158","3421 KB","Weatherford","Array Induction Shallow Focused Electric Log","1628","5928","124","Scanned","03/73/2010"
"1041760797","T29S R41W, Sec. 21,       SE SW","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Pro Farms 21-3","15-187-21163","3392 GL","Weatherford","Array Induction Shallow Focused Electric Log","1677","5861","120","Scanned","03/81/2010"
"1041760817","T29S R41W, Sec. 21,       SW SW","Kerr-McGee Oil & Gas Onshore LP","BEREXCO LLC","Pro Farms 21-2","15-187-21159","3407 KB","Weatherford","Array Induction Shallow Focused Electric Log","1650","5854","120","Scanned","03/63/2010"
"1043128071","T29S R41W, Sec. 16,     SE SW SW","Stelbar Oil Corp., Inc.","Stelbar Oil Corporation, Inc.","M&P 1-16","15-187-21190","3438 KB","Weatherford","Array Induction Shallow Focused Electric Log","1548","5617","116","Scanned","12/364/2010"
"1043128082","T29S R41W, Sec. 15,     SE SE SW","Stelbar Oil Corp., Inc.","Stelbar Oil Corporation, Inc.","Fretz Trust 1-15","15-187-21189","3407 KB","Weatherford","Array Induction Shallow Focused Electric Log","1617","5548","118","Scanned","01/14/2011"
"1044584711","T29S R41W, Sec. 22,     S2 NE NW","Western Operating Co.","BEREXCO LLC","LMS Land 1","15-187-21236","3400 KB","Weatherford","Array Induction Shallow Focused Electric Log","1656","3500","126","Scanned","08/241/2013"
"1044852526","T29S R41W, Sec. 15,   S2 N2 NW SW","Western Operating Company","Western Operating Company","Fretz Trust 1","15-187-21280","3421 KB","Weatherford","Array Induction Shallow Focused Electric Log","1742","5794","124","Scanned","07/194/2014"
"1046847941","T29S R41W, Sec. 16,       NE SW","Western Operating Company","Western Operating Company","MARTIN-PETERSON 1","15-187-21342","3417 KB","Weatherford","Array Induction Shallow Focused Electric Log","1656","5708","122","Scanned","01/09/2019"
