KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1002891452","15-015-21502","BOYER 'B'","1","MIDWEST SUPPLY","D.K. Rush Oil Co., LLC","El Dorado","26","S","5","E","8"," "," ","NW","SE","SE","1010","-1030","SE","-96.9018817","37.7982567","Butler","","09/13/1980","01/20/1981","","OIL","Producing","2464","1370","KB"," "
"1042082381","15-015-23851","Hull Higgins 'A'","28","Vess Oil Corp.","Vess Oil Corporation","El Dorado","26","S","5","E","7"," ","SE","SE","SW","NW","-2415","1120","NW","-96.9305341","37.8034914","Butler","02/22/2010","04/10/2010","05/06/2010","","OIL","Producing","2467","1375","KB","Arbuckle"
"1002889850","15-015-20507","JONES 'A'","1","SACO OIL CO.","","El Dorado","25","S","4","E","25"," "," ","E2","SE","NE","","","","-96.9331285","37.8483129","Butler","","05/02/1972","08/09/1972","04/01/1981","OIL-P&A","Well Drilled","2488","1394","KB"," "
"1036040211","15-015-23696","Wilson 'A'","428","Vess Oil Corp.","Vess Oil Corporation","El Dorado","25","S","5","E","8"," "," ","NW","SE","SE","850","-800","SE","-96.8982112","37.8851069","Butler","09/12/2006","10/09/2006","11/03/2006","","OIL","Producing","2478","1390","KB","Arbuckle"
"1044185664","15-015-30496-0001","WILSON A","403 W","VESS OIL CORP","Vess Oil Corporation","El Dorado","25","S","5","E","8"," ","N2","NE","NW","SW","2461","-4313","SE","-96.9103683","37.8894899","Butler","","","","","EOR","Authorized Injection Well","963","",""," "
"1036125455","15-015-19066-0002","HEGBERG","144-A"," ","Vess Oil Corporation","El Dorado","25","S","5","E","28"," "," ","NE","NE","NE","4980","-300","SE","-96.877903","37.8529077","Butler","","08/29/2006","08/30/2006","","OIL","Producing","2117","1373","KB","Admire, White Cloud"
"1002893475","15-015-30155","ABRAHAM-RALSTON","23","CITIES SERVICE CO","OXY USA Inc.","El Dorado","26","S","4","E","1","C"," "," ","NW","SW","1980","-4620","SE","-96.9505078","37.8155969","Butler","","08/06/1965","09/09/1965","10/27/1994","OIL-P&A"," ","2062","1403","KB"," "
"1002889303","15-015-19098","DICKMAN","4","C.W. DARLING","Hawkins Oil, LLC","El Dorado","25","S","4","E","36"," "," ","NE","NW","SE","2310","-1650","SE","-96.9376816","37.831064","Butler","","11/05/1949","12/09/1949","","OIL","Inactive Well","2455","1407","KB"," "
"1002891827","15-015-21899","BATMAN 'A'","30","CITIES SERVICE CO","OXY USA Inc.","El Dorado","26","S","5","E","8"," "," ","NE","SE","SW","1320","2290","SW","-96.9088769","37.7991023","Butler","","11/10/1981","01/05/1982","04/14/1997","OIL-P&A","Plugged and Abandoned","2445","1384","KB"," "
"1002891337","15-015-21377","LISTER","35-A","CITIES SERVICE CO","","El Dorado","25","S","5","E","32"," "," ","E2","NW","SE","1980","-1650","SE","-96.9009278","37.8302053","Butler","","09/18/1980","09/27/1980","09/30/1980","D&A","Plugged and Abandoned","2620","1368","KB"," "
"1002891840","15-015-21914","WHITE","1","WHITE & ELLIS DRLG","","El Dorado","25","S","5","E","34"," "," "," ","SE","SW","710","-65","SE","-96.8588768","37.8266426","Butler","","12/03/1981","01/11/1982","12/01/1982","OIL-P&A","Plugged and Abandoned","2557","1342","GL"," "
