KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1001276491","15-155-03000","TUCKER","5","NATIONAL PETR","","Burrton","24","S","4","W","19"," ","N2","SE","SW","NE","-2290","-1650","NE","-97.7991675","37.9497302","Reno","","05/15/1937","06/05/1937","01/01/1951","OIL-P&A","Plugged and Abandoned","3388","1471","DF"," "
"1001276488","15-155-03005","TUCKER","10","NATIONAL PETROLEUM","","Burrton","24","S","4","W","19","C"," ","W2","E2","NW","3960","-3630","SE","-97.8060556","37.9521096","Reno","","05/01/1938","05/20/1938","10/01/1950","OIL-P&A","Plugged and Abandoned","3383","1473","DF"," "
"1001276502","15-155-03014","F. WESTFAHL 'A'","2","BARNSDALL OIL CO","Allam Production, Inc.","Burrton","24","S","4","W","19"," "," ","NW","SW","SE","-4036","-2412","NE","-97.8017659","37.9448836","Reno","","03/11/1937","","","OIL","Producing","3386","1469","DF"," "
"1002939379","15-155-00374","DOWNIE","1","OLSON OIL","","Burrton","23","S","4","W","14"," "," ","SE","SW","NE","2970","-1650","SE","-97.7259061","38.0511332","Reno","","09/28/1934","11/14/1934","","OIL","Recompleted","3727","1472","DF"," "
"1001275979","15-155-70436","HOSKINSON","1","S & K Oil Co.","","Burrton","23","S","4","W","36","C"," ","NW","NE","SE","2310","-990","SE","-97.7051398","38.0059067","Reno","","12/09/1965","06/16/1966","01/01/1971","OIL-P&A","Plugged and Abandoned","3370","1460","KB"," "
"1044994271","15-155-21725","Howell","4","Howell Oil Company, Inc.","Howell Oil Company, Inc.","Burrton","23","S","4","W","24"," "," ","SW","NW","NW","-990","330","NW","-97.71897","38.0403678","Reno","03/11/2015","04/10/2015","06/08/2015","","OIL","Producing","3920","1476","KB","Mississippi"
"1044879434","15-155-21708","Howell","2","Howell Oil Company, Inc.","Howell Oil Company, Inc.","Burrton","23","S","4","W","24"," "," ","W2","E2","NW","-1320","1650","NW","-97.7144461","38.0394017","Reno","07/25/2014","07/08/2014","09/02/2014","","OIL","Producing","3871","1471","KB","Mississippi"
"1001276347","15-155-02891","MARY COLLINS","3","Sinclair Prairie Oil Co.","","Burrton","24","S","4","W","3"," "," "," ","SW","SW","660","-4620","SE","-97.7543599","37.9870249","Reno","","07/02/1936","07/23/1936","07/02/1949","OIL-P&A","Plugged and Abandoned","3368","1471","DF"," "
"1031535880","15-079-19076","WILSON","O-2","HOME STAKE PRODUCTION CO.","","Burrton","23","S","3","W","20"," "," "," ","NW","NW","-660","660","NW","-97.681359","38.0413889","Harvey","","04/05/1963","04/10/1963","09/22/1969","OIL-P&A","Plugged and Abandoned","3366","",""," "
"1002939781","15-155-30223","S. COLLINS","7","TEXACO INC.","","Burrton","24","S","4","W","16"," "," ","NW","NW","NW","","","","-97.7739519","37.9697933","Reno","","06/27/1936","07/17/1936","10/01/1952","OIL-P&A","Plugged and Abandoned","3380","1474","KB"," "
"1002939784","15-155-30224","SEEDLE","4","Sinclair Prairie Oil Co.","","Burrton","24","S","4","W","17"," "," ","NE","SE","NE","3630","-330","SE","-97.776236","37.9661019","Reno","","10/01/1936","10/23/1936","12/01/1966","OIL","Recompleted","3379","1470","KB"," "
"1044923638","15-079-20709","Bott","K 2","Kantor Oil Company, LLC","Kantor Oil Company, LLC","Burrton","23","S","3","W","7"," ","N2","S2","S2","S2","610","-2640","SE","-97.6928106","38.0593992","Harvey","10/17/2014","11/13/2014","12/10/2014","","OIL","Inactive Well","3901","1476","KB","Mississippi"
"1002939570","15-155-03198","WHITE","3","FROST DRLG","","Burrton","23","S","4","W","2"," "," ","NW","SE","SE","990","-990","SE","-97.7234414","38.0748763","Reno","","09/01/1934","10/10/1934","07/01/1957","D&A"," ","173","",""," "
"1002939712","15-155-30168","BROWN","2","WOFFORD OIL","Petroleum Technologies, Inc.","Burrton","24","S","4","W","4"," "," ","SW","NE","SW","1650","-3630","SE","-97.769388","37.9897255","Reno","","10/18/1966","05/07/1967","","OIL","Producing","3345","1477","KB"," "
"1002939724","15-155-20016","GRABER","1","ALLAM W R","","Burrton","23","S","4","W","34"," "," "," ","W2","NE","3630","-1980","SE","-97.7452935","38.0093794","Reno","08/12/1967","08/12/1967","08/19/1967","","OIL","Converted to SWD Well","3335","1471","KB"," "
"1002939594","15-155-20754","MCELWAIN","2","ALLAM W R","W.R.A. Oil Co.","Burrton","24","S","4","W","1"," "," ","SW","NW","NW","4290","-4950","SE","-97.7189561","37.9970067","Reno","03/10/1981","03/17/1981","03/22/1981","08/14/1984","OIL-P&A","Plugged and Abandoned","3363","1464","KB"," "
"1002939596","15-155-20869","MCELWAIN, B. ","1","HARPER O G","Allam Production, Inc.","Burrton","23","S","4","W","35"," "," ","SW","SW","SE","330","-2310","SE","-97.7279399","38.0003783","Reno","04/15/1982","04/19/1982","08/19/1982","03/27/2014","OIL-P&A","Plugged and Abandoned","3400","1468","GL"," "
"1002939315","15-155-00317","MARTENS","1","STERLING DRLG","Sterling Drilling Company","Burrton","22","S","4","W","36"," "," ","N2","NW","NE","4950","-1980","SE","-97.7084131","38.1002315","Reno","","12/13/1952","12/26/1952","12/26/1952","D&A","Plugged and Abandoned","3400","1448","KB"," "
