KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1008429992","15-009-24666","PETERMAN","11"," ","Globe Operating, Inc.","Kraft-Prusa","17","S","11","W","24"," "," ","N2","N2","NE","4930","-1320","SE","-98.4843132","38.5644563","Barton","02/04/2000","","02/16/2000","02/16/2000","OIL-P&A","Plugged and Abandoned","3310","1856","GL","Arbuckle"
"1038456947","15-009-03796-0001","GROSSARDT","3","DaMar Resources, Inc.","DaMar Resources, Inc.","Kraft-Prusa","17","S","11","W","9"," "," "," ","SW","NW","3384","-4724","SE","-98.5511768","38.5891281","Barton","","","","","SWD","Authorized Injection Well","3526","",""," "
"1001200782","15-009-02089","ESFELD, E. F. ","6","SKELLY OIL CO","Getty Oil Company","Kraft-Prusa","16","S","11","W","30"," "," ","E2","SW","NE","-1980","-1650","NE","-98.5777276","38.6325162","Barton","","10/02/1941","10/16/1941","02/08/1983","OIL-P&A","Plugged and Abandoned","3306","1906","DF"," "
"1001198267","15-009-15309","GROSSARDT 'C'","2","Sinclair Prairie Oil Co.","","Kraft-Prusa","17","S","11","W","10","C"," ","SE","NE","SW","1650","-2970","SE","-98.5270317","38.5843842","Barton","","03/07/1938","03/28/1938","","D&A","Spudded","3337","1842","DF"," "
"1006026790","15-009-23306","THILL","1","REIF OIL OPERATIONS","Davis Petroleum, Inc.","Kraft-Prusa","16","S","12","W","11"," "," ","NW","SE","NE","3630","-990","SE","-98.6117421","38.6766296","Barton","10/07/1983","11/01/1983","11/09/1983","08/02/1994","OIL-P&A","Plugged and Abandoned","3425","1921","KB"," "
"1001198466","15-009-03906","GROSSARDT","6","D. R. LAUCK OIL CO. ET AL","","Kraft-Prusa","17","S","11","W","16","C"," ","NW","NW","NW","4950","-4950","SE","-98.5522765","38.578951","Barton","","07/27/1949","08/13/1949","03/01/1950","OIL-P&A"," ","3326","1848","DF"," "
"1001198506","15-009-07529","SOEKEN 'A'","1","VICKERS PETROLEUM CO","","Kraft-Prusa","17","S","11","W","21","C"," ","NE","NE","SE","2310","-330","SE","-98.5361791","38.5571759","Barton","","04/22/1942","05/20/1942","11/01/1964","OIL-P&A","Spudded","3294","1834","DF"," "
"1001198588","15-009-03939","PETERMAN A","1","TRANSWESTERN OIL CO","Globe Operating, Inc.","Kraft-Prusa","17","S","11","W","24"," "," ","NE","SW","NE","3630","-1980","SE","-98.4866599","38.5604979","Barton","","07/01/1943","07/22/1943","04/18/2011","OIL-P&A","Plugged and Abandoned","3295","1851","DF","Arbuckle Group"
"1002886583","15-009-01104","HUSLIG","1","IMPERIAL OIL","","Kraft-Prusa","17","S","11","W","19"," "," ","NW","NW","NE","4950","-2310","SE","-98.5801068","38.5644324","Barton","","11/25/1951","12/05/1951","12/05/1951","D&A","Plugged and Abandoned","3386","1866","KB"," "
"1006020366","15-009-01472","OESER, EDWARD ","2","Sinclair Prairie Oil Co.","","Kraft-Prusa","16","S","11","W","17"," "," ","SE","SE","SE","330","-330","SE","-98.554697","38.6534456","Barton","","04/28/1939","05/31/1939","","OIL","Recompleted","3427","1870","DF"," "
