KID,API,nad27_longitude,nad27_latitude,ELEVATION,ELEVATION_REFERENCE,FORMATION,TOP,BASE,SOURCE,UPDATED
"1001230506","15-065-01367","-99.6153885","39.2718818","2182","KB","Kansas City Group","","3634","ACO-1","09/22/2005"
"1001230506","15-065-01367","-99.6153885","39.2718818","2182","KB","Lansing Group","3416","","ACO-1","04/15/1999"
"1001230506","15-065-01367","-99.6153885","39.2718818","2182","KB","Simpson Group","3691","","ACO-1","04/15/1999"
"1001230506","15-065-01367","-99.6153885","39.2718818","2182","KB","Stone Corral Formation","1682","","ACO-1","04/15/1999"
"1001230506","15-065-01367","-99.6153885","39.2718818","2182","KB","Arbuckle Group","3711","","ACO-1","04/15/1999"
"1001230507","15-065-01384","-99.631713","39.264517","2266","KB","Heebner Shale Member","3414","","ACO-1","04/15/1999"
"1001230507","15-065-01384","-99.631713","39.264517","2266","KB","Topeka Limestone Formation","3208","","ACO-1","04/15/1999"
"1001230507","15-065-01384","-99.631713","39.264517","2266","KB","Toronto Limestone Member","3436","","ACO-1","04/15/1999"
"1001230507","15-065-01384","-99.631713","39.264517","2266","KB","Lansing Group","3454","","ACO-1","04/15/1999"
"1001230508","15-065-02886","-99.6412508","39.2771503","2246","KB","Arbuckle Group","3726","","ACO-1","04/15/1999"
"1001230511","15-065-01385","-99.6336898","39.2663127","2256","KB","Topeka Limestone Formation","3208","","ACO-1/Driller's Log","09/29/2005"
"1001230511","15-065-01385","-99.6336898","39.2663127","2256","KB","Heebner Shale Member","3414","","ACO-1/Driller's Log","09/29/2005"
"1001230511","15-065-01385","-99.6336898","39.2663127","2256","KB","Toronto Limestone Member","3436","","ACO-1/Driller's Log","09/29/2005"
"1001230511","15-065-01385","-99.6336898","39.2663127","2256","KB","Lansing Group","3454","","ACO-1/Driller's Log","09/29/2005"
"1001230511","15-065-01385","-99.6336898","39.2663127","2256","KB","Sooy","3684","","ACO-1/Driller's Log","09/29/2005"
"1001230511","15-065-01385","-99.6336898","39.2663127","2256","KB","Stone Corral Formation","1705","","ACO-1/Driller's Log","09/29/2005"
