"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1002893317","D2956","1100","2375"
"1002893320","D2976","1100","2413"
"1002893271","D1887","490","2350"
"1002893278","D1945","1100","2383"
"1002893273","D1935","1000","2448"
"1002893321","28647","1100","2362"
"1002893335","D3440","1100","2460"
"1002893336","D3489","1100","2429"
"1002893289","D2327","1100","2404"
"1002893285","D2303","1100","1800"
"1002893209","68402","600","2525"
"1002893216","D0909","500","2406"
"1002893222","D0968","1100","2386"
"1002893207","30040","1100","2376"
"1002893212","D1002","1100","2000"
"1002893201","D0839","1100","2377"
"1002893225","43838","1100","2480"
"1002893227","F6102","1100","2455"
"1002890935","C8721","1750","2458"
"1002893226","D1106","500","2545"
"1002893230","D1083","1100","2395"
"1002893239","D1172","1100","1600"
"1002893241","D1209","1100","2481"
"1002893256","D1312","1910","2421"
"1002893249","D1266","1000","2442"
"1002893237","D1306","2200","2372"
"1002893248","D1246","1100","2457"
"1002893304","D2853","2100","2448"
"1002893253","D1413","1100","2455"
"1002893308","D2868","1100","2416"
"1002893293","D2394","2395","2429"
"1002893367","D3997","290","1600"
"1002893294","D2411","1100","2361"
"1002893374","D4039","1100","2458"
"1036125487","D8488","256","2526"
"1018923724","D8443","290","2210"
"1018923726","D5173","550","2200"
"1018923727","D5172","2309","2534"
"1036445852","D8915","227","1377"
"1023732264","D5611","610","2614"
"1023732264","D5611","610","2614"
"1023732265","D5659","600","2618"
"1002889972","70779","2600","3164"
"1002893338","D3500","2405","2455"
"1006343819","44745","298","2625"
"1002893349","D3710","300","770"
"1002893353","D3710","300","760"
"1002893360","D3783","1300","2366"
"1002893359","D3821","2394","2460"
"1002891171","D5308","1600","2150"
"1018923725","D8445","890","1400"
"1018923725","D8446","1400","2520"
"1036040219","D8495","1600","2500"
"1040658994","E0833","264","1280"
"1038695418","E0054","770","2310"
"1038695418","E0052","2310","2584"
"1038695418","E0049","270","770"
"1040658989","E0833","2020","2618"
"1002893260","D1336","1000","2517"
"1037034336","D9296","2450","2525"
"1036445883","D8941","2000","2491"
"1036445883","D8936","536","2000"
"1031996747","D8894","2460","2490"
"1036445869","D8896","2200","2437"
"1002893291","D2375","500","2120"
"1044826768","E8945","1677","2470"
"1044901208","E8476","2418","2444"
"1045666328","F0726","2445","2471"
"1002891457","F0466","2140","2445"
"1046464507","F2565","1553","2120"
"1045112503","F1886","500","2400"
"1002888216","14197","500","1280"
"1004862948","19455","2450","2645"
"1002890172","A2283","170","1490"
"1002890172","A2284","1490","2438"
"1004862953","23083","2000","2419"
"1002891217","J7081","1600","2455"
"1002891080","48211","1700","2493"
"1002889300","50136","1540","2155"
"1002890078","A0427","50","2200"
"1002890922","A3812","1910","2450"
"1002891489","A6712","2600","3246"
"1002889807","04252","1810","2300"
"1002888967","50372","2545","2700"
"1002891309","J8779","1500","2150"
"1002891396","J9096","1500","1900"
"1002891396","J9097","1900","2150"
"1002892978","C6428","500","2590"
"1002893281","B5019","1300","2455"
"1002892245","B0841","1600","2540"
"1002890126","A1567","250","1050"
"1002890126","A1568","1050","2220"
"1006759751","60265","1000","2470"
"1002890206","A2730","500","1990"
"1002890206","A2731","1990","2560"
"1002891172","J8441","1600","2150"
"1002891171","J8442","1600","2150"
"1002893171","J8515","1100","2425"
"1006759368","A9209","2355","2445"
"1002888095","19371","400","2050"
"1002888095","19372","2050","2900"
"1002888095","19373","2900","3121"
"1034047776","F1351","2890","3350"
"1006758928","66177","1200","2070"
"1002891337","K0037","1500","2620"
"1002892304","B7037","2050","2625"
"1002890130","A1732","800","1860"
"1002890042","A0212","2300","2495"
"1002893055","C8193","1600","2690"
"1002889951","70445","1900","2405"
"1002889802","58036","1300","2521"
"1002889907","69222","2400","2570"
"1002890157","A2217","240","1340"
"1002891397","J9097","1500","2150"
"1002890951","A4573","1300","2100"
"1002891279","J9072","790","2190"
"1002891394","J9231","1500","2090"
"1002891394","J9232","2100","2480"
"1002893182","B1738","1100","2467"
"1002892980","C6954","500","2572"
"1002889797","02076","1200","2790"
"1035118443","C8686","1710","2435"
"1002892788","B9960","650","2580"
"1002889892","68384","0","1850"
"1002892615","C9807","2500","2800"
"1002889863","67813","1300","2390"
"1005702511","A8727","865","889"
"1002893186","D0746","1100","2425"
"1002893183","D0757","1100","1870"
"1002893183","D0758","1870","2375"
"1002890990","A5264","1000","2540"
"1002890191","A2432","1900","2664"
