KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1033661925","15-163-19163-0001","CERROW","2","PAUL H WILLIAMS","","Webster","8","S","19","W","34"," "," ","SW","NW","NW","4290","-4950","SE","-99.4356093","39.3189646","Rooks","09/02/1983","09/14/1983","09/19/1983","08/25/1986","SWD-P&A","KCC Fee Fund Plugging","1607","1972","KB"," "
"1037039654","15-163-19162","LOWRY","1","AMERADA PETROLEUM CORP","","Webster","8","S","19","W","33"," "," ","N2","NE","NE","4950","-660","SE","-99.4393301","39.3207758","Rooks","","09/10/1946","09/20/1946","09/21/1946","D&A","Plugged and Abandoned","3487","1988","DF"," "
"1001292228","15-163-02893","MCCLELLAN","5","WESTGATE-GREENLAND OIL CO","","Webster","9","S","19","W","4","C"," ","E2","NW","NE","4620","-1650","SE","-99.4428551","39.3053887","Rooks","","12/05/1948","12/16/1948","12/16/1948","D&A","Plugged and Abandoned","3486","1996","DF"," "
"1006123909","15-163-20373","VEVERKA 'A'","2","ABERCROMBIE DRLG","","Webster","8","S","19","W","21"," "," ","NE","NE","SW","2310","-2970","SE","-99.4471","39.3423614","Rooks","05/17/1971","05/16/1971","05/25/1971","02/01/1989","OIL-P&A","Converted to SWD Well","3600","2052","KB"," "
"1006126873","15-163-21929","Kellogg","1","Sabre Expl","Sabre Exploration, LLC","Webster","8","S","19","W","22","C"," ","NW","SW","NE","3630","-2310","SE","-99.4260406","39.3460468","Rooks","12/28/1982","01/17/1983","01/25/1983","01/25/1983","D&A","Plugged and Abandoned","3430","1978","KB"," "
"1042760021","15-163-23888","Zerger","2","Tengasco, Inc.","Trans Pacific Oil Corporation","Webster","8","S","19","W","21"," ","NE","NE","SW","NW","-1510","1000","NW","-99.4518328","39.3463031","Rooks","08/05/2010","08/16/2010","09/07/2010","","OIL","Producing","3528","2020","KB","Arbuckle"
"1006125606","15-163-21234","McClellan","1","LIBERTY ENTERPRISES, INC.","Christa Oil Company","Webster","9","S","19","W","4"," "," ","N2","NW","SE","2080","-1980","SE","-99.4440653","39.2984106","Rooks","01/22/1981","02/13/1981","04/13/1981","03/30/1989","OIL-P&A","Plugged and Abandoned","3485","2001","KB","Arbuckle"
"1006126434","15-163-21678","LOWRY","1","M.W.M. & MONTGOMERY EXPLORATION INC","","Webster","8","S","19","W","27"," "," ","NE","SE","NE","3630","-330","SE","-99.4191424","39.3315505","Rooks","05/05/1982","05/15/1982","01/13/1983","04/18/1983","OIL-P&A","Plugged and Abandoned","3510","1938","KB"," "
"1044058007","15-163-24004","Zerger","3","Tengasco, Inc.","Tengasco, Inc.","Webster","8","S","19","W","21"," "," ","SE","SE","NW","-2310","2310","NW","-99.4471921","39.3441285","Rooks","01/27/2012","02/25/2012","03/05/2012","03/05/2012","D&A","Plugged and Abandoned","3600","2050","KB","Arbuckle"
"1006129243","15-163-23201","Amrein","1","Decab Co","Decab Company","Webster","8","S","19","W","33"," "," ","E2","NW","SE","1980","-1650","SE","-99.442839","39.3126042","Rooks","05/01/1992","05/07/1992","06/08/1992","06/24/1998","OIL-P&A","Plugged and Abandoned","3447","1996","KB","Lansing Kansas City"
"1044832432","15-163-24212","Holmes","3","Meridian Energy Inc.","Meridian Energy Inc.","Webster","9","S","19","W","4"," ","NW","NW","SE","NW","-1550","1550","NW","-99.4501716","39.302879","Rooks","04/28/2014","","","","LOC","Expired Intent to Drill (C-1)","","2015","GL","Arbuckle"
"1043239092","15-163-23915","Stice","7","Novy Oil & Gas, Inc.","Novy Oil & Gas, Inc.","Webster","8","S","19","W","28"," ","NW","SE","NW","SE","1854","-1816","SE","-99.4433466","39.3267098","Rooks","12/23/2010","01/26/2011","02/01/2011","","SWD","Authorized Injection Well","3912","2024","KB"," "
"1044792053","15-163-24194","Veverka 'D'","4","Tengasco, Inc.","Trans Pacific Oil Corporation","Webster","8","S","19","W","21"," ","NE","SE","NW","SE","1885","-1340","SE","-99.4413498","39.3412179","Rooks","03/12/2014","04/23/2014","05/12/2014","","OIL","Producing","3546","2009","KB","Arbuckle"
