KID,API,LEASE_NAME,WELL_NAME,ORIG_OPERATOR,CURR_OPERATOR,FIELD_NAME,TOWNSHIP,TOWNSHIP_DIR,RANGE,RANGE_DIR,SECTION,SPOT,SUBDIVISION_4_SMALLEST,SUBDIVISION_3,SUBDIVISION_2,SUBDIVISION_1_LARGEST,FEET_NORTH,FEET_EAST,REFERENCE_CORNER,NAD27_LONGITUDE,NAD27_LATITUDE,COUNTY,PERMIT_DATE,SPUD_DATE,COMPLETION_DATE,PLUG_DATE,WELL_TYPE,STATUS,TOTAL_DEPTH,ELEVATION,ELEVATION_REFERENCE,PRODUCING_FORMATION
"1039195549","15-167-21573-0001","Kepka","2","G L M Company","G L M Company","Hall-Gurney","14","S","12","W","33"," "," ","SE","NW","NW","4319","-4389","SE","-98.6659336","38.7959991","Russell","","","","","EOR","Authorized Injection Well","3218","1698","GL"," "
"1039803960","15-167-19309","GROSZ SWD","2","Schreiber Oil Co.","Schreiber Oil Co.","Hall-Gurney","15","S","12","W","27"," ","NE","NW","NE","NE","5114","-690","SE","-98.6368065","38.7250674","Russell","","","","","SWD","Recompleted","532","1873","GL"," "
"1039408094","15-167-19299","ANSCHUTZ","8"," ","Gear Petroleum Company, Inc.","Hall-Gurney","14","S","14","W","21"," "," ","SE","SW","NE","2970","-1320","SE","-98.8779367","38.8208908","Russell","","","","","OIL","Converted to EOR Well","3120","",""," "
"1040003473","15-167-08482-0001","GROSS","4"," ","Mar-Lou Oil Co., LLC","Hall-Gurney","15","S","13","W","5"," "," ","SW","NW","NW","4282","-4929","SE","-98.7976977","38.7811274","Russell","","","06/20/1983","","EOR","Authorized Injection Well","3050","1748","GL"," "
"1001304973","15-167-02630","SAM BOXBERGER","14","TEXACO, INC.","HG Oil Holdings, LLC","Hall-Gurney","14","S","14","W","10"," "," ","SE","NE","SE","1673","-296","SE","-98.8554377","38.846446","Russell","","","10/27/1961","","OIL","Producing","3271","1862","KB"," "
"1001302084","15-167-06855","C. L. NEWCOMER","2","STANOLIND OIL & GAS CO.","Mai Oil Operations, Inc.","Hall-Gurney","14","S","14","W","10"," "," ","SW","NW","NE","4305","-2319","SE","-98.862225","38.8536666","Russell","","06/18/1943","10/01/1943","09/01/2049","OIL-P&A","Producing","3260","1844","DF"," "
"1039145079","15-167-30198-0001","Ehrlich","19","Terra Resources, Inc.","Bramble Oil Company","Hall-Gurney","14","S","13","W","19"," "," ","NW","SW","SE","900","-2310","SE","-98.8074643","38.8153484","Russell","","05/11/1966","05/19/1966","","EOR","Injection Authorization Terminated","3186","1765","KB"," "
"1039451709","15-167-20646-0001","Rusch","3","Clover Oil Company","Clover Oil Company","Hall-Gurney","14","S","14","W","33"," ","NW","NW","SE","SW","1000","-3644","SE","-98.8859752","38.7864272","Russell","","","","07/26/2019","SWD-P&A","Plugged and Abandoned","2450","1757","GL"," "
"1036243179","15-167-23401","KILIAN-SCHLESSIGER","1","L.D. Drilling, Inc.","L. D. Drilling, Inc.","Hall-Gurney","15","S","12","W","21"," "," "," ","NE","SE","1980","-635","SE","-98.6542597","38.7312687","Russell","12/11/2006","02/01/2007","03/06/2007","","OIL","Producing","3274","1819","KB","Arbuckle"
"1001295868","15-167-04031","MILLER","2","SHARON DRILLING CO.","","Hall-Gurney","14","S","14","W","20","C"," ","S2","SE","SE","330","-660","SE","-98.8939423","38.813662","Russell","","03/21/1946","04/03/1946","04/30/1946","D&A","Spudded","3305","1848","DF"," "
"1001296451","15-167-21208","ZEMAN LKC UNIT","209-W","CITIES SERVICE OIL CO.","Murfin Drilling Co., Inc.","Hall-Gurney","15","S","12","W","9"," ","SE","SE","SE","SE","85","-85","SE","-98.6518845","38.7551944","Russell","","09/17/1978","10/01/1978","12/03/1998","EOR-P&A","Plugged and Abandoned","3200","1802","KB"," "
"1001299838","15-167-05775","WEIMEISTER (TWIN TO 2)","5","KEYSTONE PETROLEUM CO.","","Hall-Gurney","14","S","13","W","25","C"," ","NE","SW","SW","990","-4290","SE","-98.7214732","38.8010996","Russell","","10/31/1952","11/11/1952","10/01/1961","OIL-P&A"," ","3110","1666","KB"," "
"1001304952","15-167-05973","LETSCH","9","PHIL-HAN OIL CO.","","Hall-Gurney","14","S","13","W","34"," "," ","NE","SW","NE","3630","-1650","SE","-98.7492005","38.7939321","Russell","","05/08/1943","05/20/1943","06/01/1954","OIL-P&A","Plugged and Abandoned","2863","1698","DF"," "
"1006471348","15-167-73376","VEJL","3","JONES AND SHELBURNE","","Hall-Gurney","15","S","12","W","5"," "," ","S2","SE","SW","","","","-98.6812243","38.7706138","Russell","","05/15/1944","07/21/1944","08/01/1944","D&A","Plugged and Abandoned","3325","1858","KB"," "
"1001301937","15-167-05497","KLUSENER","1","LAUCK AND MONCRIEF","","Hall-Gurney","15","S","12","W","28"," "," ","N2","NW","SW","2310","-4620","SE","-98.6685153","38.7176661","Russell","","02/25/1943","03/24/1943","10/01/1983","OIL-P&A","Converted to SWD Well","3300","1843","DF"," "
"1036871622","15-167-23429","FLICKENGER et al. 'A'","1","Double Eagle Exploration, Inc.","Double Eagle Exploration, Inc.","Hall-Gurney","14","S","13","W","23"," "," "," ","NE","SE","1980","-660","SE","-98.7272376","38.8183293","Russell","05/01/2007","05/22/2007","05/28/2007","05/28/2007","D&A","Plugged and Abandoned","3220","1744","KB","Arbuckle"
