"KID","BOX_NUMBER","STARTING_DEPTH","ENDING_DEPTH"
"1033932280","28921","3148","3263"
"1001301809","55198","2500","2961"
"1001302932","26540","2400","2999"
"1001301586","66376","2200","2390"
"1006138201","04912","2700","2874"
"1001302928","05712","2823","2975"
"1005741858","00093","2695","2966"
"1006514333","48375","2888","3140"
"1001302975","66474","2000","2665"
"1008406643","45752","2690","2969"
"1001298003","45741","2610","3104"
"1001301810","46373","1600","2264"
"1001302921","46730","2000","3173"
"1001302938","06767","2700","2850"
"1008406661","02300","2700","3255"
"1001297640","05727","2825","3155"
"1006797314","07996","2200","2390"
"1035942447","05709","2750","2955"
"1001302940","54972","3113","3135"
"1001303037","51878","2000","3100"
"1001300771","60508","2200","3088"
"1001297292","00561","305","2200"
"1001297292","32438","2200","3268"
"1001304980","11964","2650","2840"
"1001300004","12881","2600","3242"
"1001300002","17599","2724","3387"
"1001301467","01282","1595","1890"
"1001301467","01283","1890","2975"
"1001303049","61571","3065","3201"
"1001300011","61464","2100","2300"
"1001301814","45815","2750","3265"
"1001301814","11682","3115","3265"
"1001304985","28383","2900","3060"
"1001300001","02651","2600","3051"
"1001301733","27528","3130","3310"
"1001303050","46282","2795","3075"
"1001304983","45742","2745","3052"
"1002944089","41269","2200","3230"
"1031523831","36431","2950","3266"
"1006138928","62868","2000","3200"
"1001303051","32310","875","2135"
"1006138954","63360","2750","3296"
"1006514384","45828","400","2500"
"1028097202","46756","2350","3316"
"1001303057","46435","1900","3170"
"1001303058","06793","2705","3102"
"1001304989","03661","2495","3350"
"1028097198","16908","2500","3285"
"1028097208","18901","2400","3302"
"1001304937","48359","2030","3113"
"1001300714","27310","2740","3147"
"1005741904","06769","2800","2963"
"1006797494","04812","2500","2961"
"1033764471","65384","2898","2965"
"1001302974","55359","2500","3197"
"1001302979","55037","2000","3145"
"1005741915","65453","2407","3130"
"1001302973","24497","2877","2935"
"1005741917","55182","2500","2876"
"1001295497","55178","2450","2720"
"1001295851","55190","2600","2866"
"1001300715","63386","2400","2953"
"1001299931","63396","2500","2934"
"1001299932","27522","2500","2888"
"1001304944","04684","2200","2935"
"1001304943","08892","2850","3142"
"1005741926","02305","1500","2901"
"1001298559","04893","2750","2874"
"1005741928","09583","2050","2735"
"1001295603","08830","550","1200"
"1001295603","06772","1200","2869"
"1008406689","30022","560","2230"
"1008406689","29868","2630","2869"
"1001302368","55346","2500","3135"
"1002943967","55301","2100","2550"
"1001297006","55317","2100","2140"
"1001297006","55318","2140","2851"
"1001302322","55037","2100","2281"
"1001304947","55040","2100","2225"
"1001302981","66303","2075","2226"
"1001302369","06773","2400","3125"
"1001304949","06778","2450","2800"
"1006133240","63807","2000","3152"
"1001299860","48349","1675","3000"
"1001301720","09947","2750","2913"
"1001302899","38320","2770","2915"
"1005741951","08480","2950","3120"
"1006797396","50612","2600","3160"
"1005450764","32860","2885","3148"
"1001302894","43733","2350","2924"
"1037343261","27281","2650","2888"
"1030571736","65328","2300","2903"
"1002943827","65361","2400","2900"
"1001304925","55489","2400","2700"
"1001300595","55197","2500","2954"
"1005741971","55204","2500","2965"
"1001299871","63385","2450","2950"
"1027963890","65972","0","219"
"1001299884","48357","2035","2500"
"1001299886","46740","2320","2325"
"1001302199","49053","2000","3164"
"1006135031","A5373","1450","1700"
"1002944138","39773","2200","3200"
"1001302396","12451","2140","3325"
"1001302238","08622","2150","2425"
"1001303093","09701","2200","2433"
"1001305016","23663","3020","3138"
"1001305015","02330","3010","3057"
"1001305014","04893","2830","3092"
"1001305013","G1428","3015","3103"
"1001303087","07051","2990","3118"
"1006133441","27296","2300","3300"
"1006133522","33580","2300","3255"
"1001301365","02595","2985","3240"
"1006514411","02565","2400","3064"
"1001305011","01241","2900","3105"
"1006139127","65030","2840","3217"
"1001305020","30686","2300","3083"
"1002943836","04006","2700","3086"
"1001302400","04864","2800","3065"
"1001303111","54506","2850","3050"
"1001302434","27180","10","1600"
"1001302435","07208","2300","3061"
"1001302404","48985","3200","3365"
"1001302428","10791","2200","2422"
"1043986269","10938","2860","3105"
"1001302432","27170","2710","2993"
"1001302241","23901","2700","3163"
"1001303103","B0249","2300","3290"
"1001301107","07827","2200","2449"
"1001303104","26832","2900","3115"
"1001305022","06775","2500","3043"
"1006135031","A5376","2500","2810"
"1001299872","02275","500","1950"
"1001302320","04673","2000","2300"
"1001299894","26671","2750","2927"
"1001299919","50524","2200","3167"
"1006133508","33998","2200","3040"
"1001298000","09509","1950","2330"
"1001299893","50415","2200","2700"
"1001297153","65329","2891","2904"
"1001302367","46058","2200","2800"
"1001303000","06779","2500","2836"
"1006139245","53474","2500","2831"
"1001302376","31082","2600","2930"
"1001302058","50306","2875","3180"
"1001299940","30193","2790","2827"
"1005742017","B1430","2700","2861"
"1001300053","31727","2000","3051"
"1001301816","03858","2975","3159"
"1001302437","A8587","2600","2780"
"1001303122","05731","2610","3054"
"1001303123","06798","1000","2550"
"1001300053","02390","0","550"
"1044195189","54529","2450","3048"
"1001302440","32602","2500","3241"
"1001302244","06799","2900","3047"
"1006139419","27475","2900","3150"
"1001297092","54004","2250","2357"
"1001298620","12744","2400","3280"
"1006138901","62723","2200","2990"
"1006139407","65526","2625","3015"
"1006139017","64462","2200","3102"
"1001302020","49009","2100","2912"
"1001302020","50324","2910","2958"
"1039408551","49033","2000","2800"
"1039408551","49039","2800","2926"
"1001302011","49202","2200","2500"
"1001302011","49203","2500","2965"
"1001295399","52667","2978","3120"
"1001303136","50351","1850","3110"
"1001303136","50352","3110","3187"
"1001303162","49145","2100","3202"
"1001303162","49146","3202","3364"
"1001303137","50838","2150","3204"
"1001303158","49212","2200","2924"
"1001303138","50997","1800","3202"
"1001299315","A0061","2900","2932"
"1001296558","52443","2500","3195"
"1039408552","20313","2550","3130"
"1001301603","21714","745","3215"
"1001301603","50990","1800","2400"
"1001301604","52353","2000","2560"
"1001302017","21717","700","2250"
"1006135415","J8051","2000","3280"
"1001302012","52384","1900","2368"
"1001302022","53276","1900","2375"
"1001303143","F9611","1900","2400"
"1001302016","52380","1900","2398"
"1001302014","21711","675","2400"
"1001295526","34732","2588","3012"
"1006514429","21796","2950","3140"
"1002943837","B0520","2600","3203"
"1001299298","48377","2861","2970"
"1001299378","49270","2100","2500"
"1002943750","52323","2000","2400"
"1002943746","52366","1900","2395"
"1001300070","52413","1900","2413"
"1001300073","52412","1900","2400"
"1001296586","47952","2270","2314"
"1001302061","55459","2500","2700"
"1001302061","05322","2700","3140"
"1001302064","55490","2750","2929"
"1001302406","55173","2650","2907"
"1001302406","55174","2906","3006"
"1001302406","06802","2855","3003"
"1001303150","55280","3002","3164"
"1001299359","66376","2200","2400"
"1001303148","66447","2150","2390"
"1001302331","36263","1850","3007"
"1001305031","35767","2300","3252"
"1001301876","32714","2000","2850"
"1001303163","34278","2355","3181"
"1001303157","34238","2000","3003"
"1001303159","34276","2000","3245"
"1001302062","30215","2705","2901"
"1001300071","07682","1800","2310"
"1001300076","08294","1800","2350"
"1001303153","24289","1900","2415"
"1006135205","J5726","2200","3175"
"1001296937","06778","2700","3002"
"1001305036","06803","2705","3006"
"1001295550","05679","2999","3149"
"1006135608","J9639","2200","3250"
"1006136145","F0973","2200","3220"
"1001303169","A6613","2636","2895"
"1001302444","10403","2000","2380"
"1001296639","13502","2600","2952"
"1006133280","33107","2300","3190"
"1006135371","A6114","2300","3185"
"1001303206","A8673","2140","2455"
"1001303206","B0913","2455","2900"
"1001303206","32647","2900","3006"
"1040723497","31257","2900","3040"
"1006135712","J9149","1600","3192"
"1001303200","31263","3090","3230"
"1006133322","B7046","2000","2350"
"1037782333","54139","2605","3052"
"1001303195","30521","2600","2996"
"1001303196","38428","2600","2997"
"1001305043","37771","2765","3180"
"1008405154","35309","390","3115"
"1001295409","43432","2692","3360"
"1001300080","00922","2500","2965"
"1001301028","34706","775","3020"
"1001295465","01502","0","675"
"1006133842","56843","1900","3185"
"1001303191","00099","2500","3024"
"1001303202","06805","2800","3070"
"1001297467","08384","2250","3224"
"1001303212","04074","2150","3259"
"1001296345","08773","2100","3245"
"1006135993","G1359","1800","3050"
"1006139141","F2692","825","2900"
"1006133300","B7032","2000","3300"
"1001298811","30247","2865","3099"
"1001295495","49570","3200","3277"
"1001303258","29622","2900","3205"
"1001296730","56627","2500","3205"
"1001299091","25351","2600","3110"
"1006134670","A2674","2890","3220"
"1006133248","66837","2000","3201"
"1037034625","29595","730","2100"
"1002943604","66222","2200","3340"
"1006134157","70188","1500","2447"
"1001301221","52425","1900","2412"
"1001296129","46033","1995","3188"
"1006134443","A1024","2200","2780"
"1042325173","46027","2906","3219"
"1006138934","63167","2900","3290"
"1006134822","A4463","2150","3146"
"1006134852","A4473","2150","3150"
"1006135045","A5661","2370","3390"
"1006136351","G2298","2150","3156"
"1001303259","06074","2800","3286"
"1001296394","C3185","2090","2980"
"1001296394","C3186","2980","3235"
"1001303276","31312","2600","2900"
"1001303268","31078","2285","3168"
"1001299378","26139","3000","3192"
"1006136895","A9559","3080","3178"
"1006135431","J9797","2200","3191"
"1001303289","27824","2855","3192"
"1001303271","C6028","3100","3181"
"1001303272","27684","2900","3186"
"1001303275","35895","2500","3326"
"1001303274","09468","2100","2360"
"1001300111","34533","2500","3132"
"1001305060","04851","2800","2908"
"1001303288","54627","2200","3466"
"1001297344","40995","2525","3183"
"1001300108","04006","2800","2926"
"1001300110","06813","1020","2394"
"1001303285","41009","2600","3156"
"1001297652","38104","2000","3152"
"1001303286","02300","2923","3153"
"1001300987","50445","2700","3193"
"1044080225","49216","2200","3141"
"1001303279","49193","2500","3135"
"1001300934","50821","2200","3147"
"1001301894","43196","2750","3246"
"1001301895","F2630","2300","2810"
"1001299667","43174","2500","3125"
"1002943249","11170","1400","3201"
"1001298330","30454","2690","2820"
"1001303003","40096","2941","3096"
"1001300729","05057","2475","3131"
"1001298498","29942","2750","3060"
"1031640102","06781","2900","3160"
"1001299942","49126","2400","3127"
"1001298423","27142","2815","3150"
"1002943958","06782","2900","3146"
"1001301864","66036","2535","3295"
"1001301868","66023","2150","3160"
"1001300725","05341","2700","3170"
"1001299944","06776","725","2025"
"1001299944","06778","3225","3335"
"1002943642","51637","750","2150"
"1001298881","06783","350","1700"
"1001301671","02675","2600","3268"
"1002943219","50747","3050","3340"
"1001296871","46501","804","3021"
"1001302079","02517","2500","2974"
"1027938543","12662","2746","3249"
"1027938591","01378","80","812"
"1002943757","55389","2600","3001"
"1027938561","02582","350","825"
"1001300596","12772","2375","3300"
"1027938527","01004","2800","3011"
"1002943525","36464","2000","2895"
"1008405914","45728","2670","3007"
"1001297413","45748","2745","3043"
"1006139177","53725","2490","3260"
"1002942983","07742","2300","2445"
"1006138017","C2200","2150","2656"
"1001300756","07539","3200","3331"
"1001296997","06788","3103","3330"
"1001302416","A9406","2300","3312"
"1001299955","04336","2000","3070"
"1008447179","12393","2380","3295"
"1001299953","12007","2600","3231"
"1001304972","48943","2230","3182"
"1005742133","43318","3062","3293"
"1001301707","27523","2700","3060"
"1005742133","27528","2700","3070"
"1001304972","06789","3222","3327"
"1001299966","45790","2775","3035"
"1001295653","45822","2900","3042"
"1001302080","46066","2350","3270"
"1001302008","46034","2400","3265"
"1001303027","61590","0","3289"
"1005742149","51906","3050","3305"
"1001302085","36694","2100","3068"
"1001295336","36363","2380","3267"
"1002944137","B6909","2000","3300"
"1035942409","36442","2860","3253"
"1001301729","37666","2800","3255"
"1001301813","36345","2850","3242"
"1006139271","02208","0","512"
"1001298604","02389","6","535"
"1032577370","54518","2890","3214"
"1001299976","53013","2300","3264"
"1001304973","24340","2305","3272"
"1001299989","46497","2935","3243"
"1001302086","27017","2950","3261"
"1001301728","09190","2200","3268"
"1001299971","09173","2000","3264"
"1001299970","09941","2200","3258"
"1001299968","00022","3110","3269"
"1001302088","36936","2900","3269"
