KID,LOCATION,ORIGINAL-OPERATOR,CURRENT-OPERATOR,LEASE,API,ELEVATION,LOGGER,TOOL,TOP,BOTTOM,TEMP,SCANNED,LOG_DATE
"1001327932","T31S R1W, Sec. 29,     NE NE SE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was W. I. GASKILL 2 14","15-191-10061","1274 DF","Strip/Sample Logs","Sample Log","0","3704","","Scanned","12/347/1938"
"1001327941","T31S R1W, Sec. 29,     W2 SE NE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was LUDWIG 2 11","15-191-10074","1274 DF","Strip/Sample Logs","Sample Log","0","3702","","Scanned","08/230/1941"
"1001327942","T31S R1W, Sec. 29,     SE SE NE","STELBAR OIL CORP","","JOHN LUDWIG 1","15-191-10062","1276 DF","Strip/Sample Logs","Sample Log","0","3700","","Scanned","11/307/1938"
"1001327954","T31S R1W, Sec. 32,   NE NE NE NE","CARTER OIL CO.","BEREXCO LLC","WELLINGTON UNIT, was FRANKUM 1 36","15-191-10081","1266 DF","Strip/Sample Logs","Sample Log","3000","3700","","Scanned",""
"1001327954","T31S R1W, Sec. 32,   NE NE NE NE","CARTER OIL CO.","BEREXCO LLC","WELLINGTON UNIT, was FRANKUM 1 36","15-191-10081","1266 DF","Strip/Sample Logs","Sample Log","3000","3700","","Scanned",""
"1001327954","T31S R1W, Sec. 32,   NE NE NE NE","CARTER OIL CO.","BEREXCO LLC","WELLINGTON UNIT, was FRANKUM 1 36","15-191-10081","1266 DF","Strip/Sample Logs","Sample Log","0","3680","","Scanned","09/262/1930"
"1001327954","T31S R1W, Sec. 32,   NE NE NE NE","CARTER OIL CO.","BEREXCO LLC","WELLINGTON UNIT, was FRANKUM 1 36","15-191-10081","1266 DF","Strip/Sample Logs","Sample Log","0","3680","","Scanned","09/262/1930"
"1001327955","T31S R1W, Sec. 32,     SE NE NE","SHAWVER E B","","FRANKUM or WELLINGTON UNIT 'I' 40 2","15-191-10080","1262 DF","Strip/Sample Logs","Sample Log","0","3693","","Scanned","12/346/1934"
"1001327955","T31S R1W, Sec. 32,     SE NE NE","SHAWVER E B","","FRANKUM or WELLINGTON UNIT 'I' 40 2","15-191-10080","1262 DF","Strip/Sample Logs","Sample Log","0","3693","","Scanned","09/272/1934"
"1001327956","T31S R1W, Sec. 32,     NE SE NE","SHAWVER E B","","FRANKUM 3","15-191-10079","1260 DF","Strip/Sample Logs","Sample Log","3040","3695","","Scanned","08/219/1935"
"1001327957","T31S R1W, Sec. 32,   SE SW SE NE","STELBAR OIL CORP","BEREXCO LLC","WELLINGTON UNIT, was J. C. FRANKUM 5 53","15-191-10078","1255 DF","Strip/Sample Logs","Sample Log","0","3693","","Scanned","02/49/1937"
